country,leader_title,name,first,last,visit_type,n_articles,source
秘鲁,总统,乌马拉,2014-11-12,2014-11-12,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
墨西哥,总统,培尼亚,2014-11-13,2014-11-13,来华出席,1,PRC MFA zyxw wayback backfill
南非,总统,祖马,2014-12-03,2014-12-06,国事访问,1,PRC MFA zyxw wayback backfill (预告)
爱尔兰,总统,Michael Higgins,2014-12-09,2014-12-09,会见/会谈(双边),1,PRC MFA /eng/ wayback backfill
泰国,总理,巴育,2014-12-22,2014-12-22,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
埃及,总统,塞西,2014-12-22,2014-12-25,国事访问,1,PRC MFA zyxw wayback backfill (预告)
哥斯达黎加,总统,索利斯,2015-01-06,2015-01-08,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
厄瓜多尔,总统,科雷亚,2015-01-07,2015-01-08,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
巴哈马,总理,克里斯蒂,2015-01-07,2015-01-08,来华出席,2,PRC MFA zyxw wayback backfill
委内瑞拉,总统,马杜罗,2015-01-07,2015-01-07,来华出席,1,PRC MFA zyxw wayback backfill
法国,总理,瓦尔斯,2015-01-29,2015-01-30,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
阿根廷,总统,克里斯蒂娜,2015-02-05,2015-02-05,国事访问,2,PRC MFA zyxw wayback backfill
亚美尼亚,总统,Serzh Sargsyan,2015-03-25,2015-03-25,国事访问,1,PRC MFA /eng/ wayback backfill
斯里兰卡,总统,Maithripala Sirisena,2015-03-26,2015-03-26,会见/会谈(双边),1,PRC MFA /eng/ wayback backfill
哈萨克斯坦,总理,马西莫夫,2015-03-27,2015-03-27,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
奥地利,总统,菲舍尔,2015-03-27,2015-03-27,国事访问,1,PRC MFA zyxw wayback backfill
瑞典,首相,勒文,2015-03-27,2015-03-29,来华出席,2,PRC MFA zyxw wayback backfill
马来西亚,总理,纳吉布,2015-03-28,2015-03-28,来华出席,1,PRC MFA zyxw wayback backfill
荷兰,首相,吕特,2015-03-28,2015-03-28,国事访问,1,PRC MFA zyxw wayback backfill
尼泊尔,总统,亚达夫,2015-03-29,2015-03-29,来华出席,1,PRC MFA zyxw wayback backfill
赞比亚,总统,伦古,2015-03-30,2015-03-30,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
乌干达,总统,穆塞韦尼,2015-03-31,2015-03-31,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
巴基斯坦,总统,Mamnoon Hussain,2015-04-21,2015-04-21,会见/会谈(双边),1,PRC MFA /eng/ wayback backfill
印度尼西亚,总统,Joko Widodo,2015-04-22,2015-04-22,国事访问,1,PRC MFA /eng/ wayback backfill
津巴布韦,总统,Robert Mugabe,2015-04-23,2015-04-23,国事访问,1,PRC MFA /eng/ wayback backfill
